feature,corr_with_target
PAY_0,0.32479372847862237
PAY_2,0.26355120167216783
PAY_3,0.23525251372491715
PAY_4,0.2166136368424239
PAY_5,0.2041489138761644
PAY_6,0.18686636165354614
LIMIT_BAL,-0.15351987639350723
PAY_AMT1,-0.07292948777785163
PAY_AMT2,-0.058578706582901575
PAY_AMT4,-0.056827400892886945
PAY_AMT3,-0.05625035099033165
PAY_AMT5,-0.055123515621088776
PAY_AMT6,-0.05318334032612797
SEX,-0.03996057770544173
EDUCATION,0.028006077656250218
MARRIAGE,-0.024339215683404466
BILL_AMT1,-0.019644197143221572
BILL_AMT2,-0.014193218088215755
BILL_AMT3,-0.014075518043214724
AGE,0.013889834301962896
BILL_AMT4,-0.01015649588028967
BILL_AMT5,-0.006760463841014787
BILL_AMT6,-0.005372314914815565
