PAY_0,n,error_rate,fp_rate,fn_rate,actual_default_rate,predicted_positive_rate
-2,578,0.12975778546712802,0.020761245674740483,0.10899653979238755,0.13321799307958476,0.04498269896193772
-1,1108,0.18862815884476533,0.06227436823104693,0.1263537906137184,0.16967509025270758,0.1055956678700361
0,2974,0.14996637525218562,0.03328850033624748,0.11667787491593813,0.132817753866846,0.04942837928715535
1,731,0.42954856361149113,0.3857729138166895,0.04377564979480164,0.3433652530779754,0.6853625170998632
2,520,0.31153846153846154,0.31153846153846154,0.0,0.6884615384615385,1.0
3,57,0.2982456140350877,0.2982456140350877,0.0,0.7017543859649122,1.0
4,15,0.4,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.9333333333333333
5,5,0.6,0.6,0.0,0.4,1.0
7,2,0.5,0.5,0.0,0.5,1.0
8,10,0.5,0.5,0.0,0.5,1.0
